"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name"
2021,153554.692116563,138285.738740359,170509.581723996,11.9418120829831,0.0534370477031251,121489.800521249,"index","Coastwide",30,"sablefish"
2022,228606.050834632,203701.513140772,256555.416169592,12.3397554990854,0.058850300070447,179451.323595097,"index","Coastwide",30,"sablefish"
2023,215072.84898373,191939.983096836,240993.719097294,12.2787320822015,0.0580592648601266,169521.007936862,"index","Coastwide",30,"sablefish"
2024,209013.309174072,187178.417409656,233395.302815733,12.2501532091782,0.0562947407628537,165308.376965238,"index","Coastwide",30,"sablefish"
2003,54386.2614281388,46280.7142268608,63911.4041678542,10.9038668536717,0.0823414312832732,43338.5028363295,"index","California",30,"sablefish"
2004,66229.3319403469,55914.025039916,78447.659708514,11.1008787244637,0.0863833228347639,52138.6424338917,"index","California",30,"sablefish"
2005,62548.8513933341,54108.3268507758,72306.0393535213,11.0437031527102,0.0739604324120618,50093.860899339,"index","California",30,"sablefish"
2006,57766.1853900397,50006.4115835483,66730.0865798229,10.9641588556109,0.0735994890153543,46289.3615147736,"index","California",30,"sablefish"
2007,54825.7975397698,47394.8032108742,63421.8916892172,10.9119161201893,0.0743116998919091,43870.1081203991,"index","California",30,"sablefish"
2008,38711.2148266051,33378.0980520835,44896.4512901007,10.5638846258384,0.0756286391395296,30908.7145373678,"index","California",30,"sablefish"
2009,38891.4962234113,33638.1021627427,44965.333394192,10.5685308996268,0.0740402397011825,31045.3126871026,"index","California",30,"sablefish"
2010,36794.0486493379,31987.1934059973,42323.2510219547,10.5130913895933,0.0714301360035965,29618.6639291497,"index","California",30,"sablefish"
2011,45701.4696666919,39738.8239438868,52558.7856511506,10.7298857353738,0.0713287665339269,36701.5423161171,"index","California",30,"sablefish"
2012,40386.8563717389,35097.2380355488,46473.6902071721,10.6062596736824,0.0716247629434706,32374.9513448665,"index","California",30,"sablefish"
2013,46718.542760061,39923.6611462149,54669.8918626248,10.7518964260923,0.0801912632234188,37088.0858413925,"index","California",30,"sablefish"
2014,48923.95378761,42566.9200722935,56230.3603396042,10.7980224080318,0.071016458796077,39469.4289729099,"index","California",30,"sablefish"
2015,42933.7354576126,37179.6908913149,49578.2938522186,10.6674131701892,0.0734172790553168,34501.3744365479,"index","California",30,"sablefish"
2016,44120.0200849805,38186.7130954735,50975.2218640107,10.6946689286026,0.0736880985457065,35419.4920195598,"index","California",30,"sablefish"
2017,59204.8987968769,51054.3514895537,68656.6362960393,10.9887595673958,0.075569504770369,47603.457823565,"index","California",30,"sablefish"
2018,53485.2232948593,46141.3901831985,61997.8960222707,10.8871606946377,0.0753559937090755,42967.9560432921,"index","California",30,"sablefish"
2019,52688.0678347591,43114.3516908279,64387.6663637913,10.8721442920956,0.102314678813957,40985.7078710238,"index","California",30,"sablefish"
2021,82543.9031677414,72170.2995347714,94408.5862756155,11.321085590385,0.0685225417309246,66418.2811559312,"index","California",30,"sablefish"
2022,120272.957408922,103767.663712091,139403.584569698,11.6975190837498,0.0753123060759371,95967.6121697656,"index","California",30,"sablefish"
2023,111740.065444553,96567.676526041,129296.28913859,11.623930608699,0.0744560906098434,89388.9511081884,"index","California",30,"sablefish"
2024,104522.356659508,90140.6590543261,121198.615100796,11.5571562668307,0.0755267241275537,83252.0267123822,"index","California",30,"sablefish"
2003,33115.5204228494,27938.1292030311,39252.3667174242,10.4077573464184,0.0867412232308268,25547.0495301269,"index","Oregon",30,"sablefish"
2004,34763.9103569706,29007.6267425942,41662.4729086475,10.4563350689374,0.0923593519313606,26266.7393113489,"index","Oregon",30,"sablefish"
2005,29948.6015030249,25005.1669988963,35869.3358067385,10.3072379080636,0.0920425819227813,22727.2715611555,"index","Oregon",30,"sablefish"
2006,29702.3359229912,25057.643208777,35207.9703558552,10.2989809723038,0.0867601627153728,22829.7458303471,"index","Oregon",30,"sablefish"
2007,27176.1596519217,23271.5828344497,31735.858221618,10.2100953845627,0.0791377348840129,21123.5225365307,"index","Oregon",30,"sablefish"
2008,21382.3531430338,18216.5204957818,25098.3729872715,9.97032124133987,0.0817551045420788,16569.8057453688,"index","Oregon",30,"sablefish"
2009,19753.8200126641,16727.4258067874,23327.761820614,9.89110216998909,0.0848470972207731,15169.5826717606,"index","Oregon",30,"sablefish"
2010,20266.2747243302,16945.4553450689,24237.8787018871,9.91671343983912,0.091307026878004,15512.9811058912,"index","Oregon",30,"sablefish"
